Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_gray_sand_dark.jpg,111,0.0,0,0,1,0,402,1
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_green_wall.jpg,21,0.0,0,0,1,0,130,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_green_wall_dark.jpg,63,0.015873015873015872,0,0,1,0,238,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metall_copper.jpg,50,0.0,0,0,1,0,223,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metall_copper_dark.jpg,18,0.0,0,0,0,0,141,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metall_old_blue.jpg,21,0.0,0,0,1,0,130,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metall_old_blue_dark.jpg,27,0.0,0,0,1,0,141,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metal_red_dark.jpg,33,0.0,0,0,1,0,198,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_metal_red_light.jpg,33,0.0,0,0,1,0,184,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_old_book.jpg,45,0.0,0,0,1,0,149,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_old_book_dark.jpg,53,0.0,0,0,1,0,225,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_old_paper.jpg,17,0.0,0,0,0,0,47,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_old_paper_dark.jpg,26,0.0,0,0,1,0,97,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_paper.jpg,31,0.0,0,0,1,0,153,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_paper_dark.jpg,38,0.02631578947368421,0,0,1,0,129,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_rust.jpg,44,0.022727272727272728,0,0,1,0,207,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_rust_dark.jpg,23,0.0,0,0,1,0,153,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_sand.jpg,24,0.0,0,0,1,0,81,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_sand_dark.jpg,11,0.0,0,0,0,0,48,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_stones.jpg,38,0.0,0,0,1,0,212,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_stones_dark.jpg,49,0.0,0,0,1,0,243,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_wood.jpg,12,0.0,0,0,0,0,60,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\tx_wood_dark.jpg,15,0.0,0,0,0,0,62,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\.pmd,1666,0.0,0,0,1,1,1667,1
C:/Users/norhe/pfaa\CoolReader\android\res\layout\.project,16,0.0,0,0,0,0,17,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\alert_dialog_progress.xml,43,0.0,0,0,1,0,44,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\base_dialog.xml,47,0.0,0,0,1,0,48,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\bookmark_shortcut_item.xml,56,0.0,0,0,1,0,57,0
