Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\install.doc,847,0.0141676505312868,3,0,1,0,854,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\psaux\t1decode.c,1177,0.0229396771452846,5,0,1,1,1184,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\sfnt\sfnt.c,33,0.5151515151515151,0,0,0,0,37,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\projects\visualc71\libpng.sln,87,0.0,0,0,1,0,88,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\config\ftmodule.h,29,0.0,0,0,1,0,30,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\src\main\java\com\wissassblog\sudoku\userinterface\logic\ControlLogic.java,63,0.0,0,0,1,0,64,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-xxhdpi\log.png,360,0.0083333333333333,0,0,1,0,1335,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\data\hyph\Swedish_hyphen_(Alan).pdb,20,0.0,0,0,0,0,53,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\src\main\java\com\wissassblog\sudoku\problemdomain\Coordinates.java,30,0.0,0,0,1,0,31,0
C:/Users/norhe/pfaa\CoolReader\tinydict\CMakeLists.txt,3,0.0,0,0,0,0,4,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-tvdpi\grad.xml,7,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\chmlib\ChmLib-ds6.zip,57,0.0175438596491228,0,0,1,0,226,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\psaux\afmparse.c,762,0.0288713910761154,3,0,1,0,767,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\dib2sprt.c,533,0.0206378986866791,0,0,1,0,534,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\configure,87,0.2068965517241379,1,0,1,0,89,0
C:/Users/norhe/pfaa\CoolReader\android\res\drawable\cr3_option_page.png,11,0.0,0,0,0,0,25,0
C:/Users/norhe/pfaa\CoolReader\crengine\lib\projects\codeblocks\cr3view.cbp,146,0.0,0,0,1,0,147,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\docs\reference\ft2-glyph_stroker.html,847,0.0,0,0,1,0,848,1
C:/Users/norhe/pfaa\Websocket-With-Angular\frontend\src\app\app.component.spec.ts,26,0.0,0,0,1,0,27,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\config\ftstdlib.h,130,0.3538461538461538,2,0,1,0,133,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\src\citecore.h,217,0.0276497695852534,1,0,1,0,219,1
C:/Users/norhe/pfaa\CoolReader\crengine\include\lvrend.h,39,0.1538461538461538,1,0,1,0,41,0
C:/Users/norhe/pfaa\Find-Job\gradle.properties,20,0.85,0,0,0,0,21,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\gxvalid\gxvcommn.h,425,0.0941176470588235,13,0,1,0,450,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cache\ftccache.h,255,0.0823529411764705,11,0,1,0,271,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\unix\mkinstalldirs,140,0.2,0,0,1,0,141,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3a\keymaps\keydefs.ini,158,0.1645569620253164,0,0,1,0,159,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\gxvalid\gxvmort2.c,221,0.0180995475113122,1,0,1,0,224,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\objs\README,1,0.0,0,0,0,0,2,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\zlib\infback.c,572,0.0349650349650349,2,0,1,0,575,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\unix\ltmain.sh,7040,0.1592329545454545,13,0,1,1,7064,1
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-xxxhdpi\mmm.png,9208,0.004018245004344,0,0,1,1,37015,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\bookmarklistdlg.ui,119,0.0,0,0,1,0,120,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\main_ros.c,441,0.0612244897959183,0,0,1,0,442,1
C:/Users/norhe/pfaa\CoolReader\crengine\lib\projects\codeblocks\coolreader.workspace,10,0.0,0,0,0,0,11,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\values\styles.xml,8,0.0,0,0,0,0,9,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\chmlib\src\chm_lib.c,1707,0.08904510837727,21,0,1,1,1764,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BookmarksDlg$BookmarkList.class,94,0.0,0,0,1,0,111,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\java\com\example\job\Dev\SignUp.java,97,0.0,0,0,1,0,98,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\jdinput.c,323,0.0092879256965944,1,0,1,0,326,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Resources\8859-5.txt,302,0.152317880794702,0,0,1,0,303,1
C:/Users/norhe/pfaa\CoolReader\crengine\src\lvxml.cpp,2769,0.0104730949801372,4,0,1,1,2774,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\internal\services\svsfnt.h,57,0.1052631578947368,4,0,1,0,62,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\cr-white.png,4,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cff\cffcmap.h,48,0.0833333333333333,2,0,1,0,52,0
C:/Users/norhe/pfaa\Find-Job\.git\index,80,0.0,0,0,1,0,449,0
C:/Users/norhe/pfaa\CoolReader\tools\toolchain-arm-ip-linux-gnueabi.cmake,14,0.4285714285714285,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pshinter\module.mk,16,0.6875,0,0,0,0,17,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\jcapimin.c,237,0.0126582278481012,0,0,1,0,238,1
C:/Users/norhe/pfaa\Websocket-With-Angular\.git\info\exclude,5,1.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\Find-Job\.git\hooks\pre-push.sample,46,0.4782608695652174,0,0,1,0,47,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\scroll_arrow_up_disabled.png,4,0.0,0,0,0,0,9,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3a\skins\default\scroll_body_horizontal.png,3,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\cr3.kdevelop,185,0.0,0,0,1,0,186,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\beos\beos.mk,14,0.7857142857142857,0,0,0,0,15,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\projects\visualc71\README_zlib.txt,30,0.0,0,0,1,0,31,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\values-v21\drawable\ic_profile.xml,4,0.0,0,0,0,0,5,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\classic\cr3_menu_shortcut.png,5,0.0,0,0,0,0,12,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pfr\pfrgload.c,646,0.0139318885448916,1,0,1,0,648,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cff\cfftoken.h,84,0.1428571428571428,2,0,1,0,89,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\compiler\intelc.mk,62,0.7741935483870968,0,0,0,0,63,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\ftsizes.h,135,0.074074074074074,1,0,1,0,138,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$DefTapAction.class,108,0.0,0,0,1,0,119,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pcf\pcfread.h,29,0.1379310344827586,1,0,1,0,31,0
C:/Users/norhe/pfaa\CoolReader\.pmd,1666,0.0,0,0,1,1,1667,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\mac\FreeType.m68k_far.make.txt,170,0.0647058823529411,0,0,1,0,171,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\aboutdlg.h,21,0.1428571428571428,1,0,0,0,23,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\gzip\inffixed.h,148,0.0,0,0,1,0,149,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\scroll_arrow_left_disabled.png,3,0.0,0,0,0,0,9,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\white\arrow-right-enabled.png,5,0.0,0,0,0,0,11,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\scroll_arrow_right_disabled.png,3,0.0,0,0,0,0,7,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3a\skins\default\cr3_menu_item.png,4,0.0,0,0,0,0,9,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cache\ftcerror.h,30,0.2666666666666666,0,0,1,0,33,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\internal\internal.h,40,0.45,0,0,1,0,41,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v5\skins\default\scroll_arrow_right_enabled.png,5,0.0,0,0,0,0,13,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\scroll_slider_horizontal.png,4,0.0,0,0,0,0,11,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\scripts\makefile.atari,43,0.3488372093023256,0,0,1,0,44,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\autofit\afloader.h,51,0.0980392156862745,1,0,1,0,54,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\cr3_logo_screen.png,229,0.0043668122270742,0,0,1,0,693,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Makefile.vc60,46,0.217391304347826,0,0,1,0,47,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\dib2eps.c,459,0.0130718954248366,0,0,1,0,460,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\builds\win32\visualce\freetype.dsp,332,0.7469879518072289,0,0,1,0,333,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\README.CVS,32,0.0,0,0,1,0,33,0
C:/Users/norhe/pfaa\CoolReader\packages\openinkpot\debian\cr3.install,5,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\JavaDesktopSudoku\.git\hooks\pre-rebase.sample,137,0.145985401459854,1,0,1,0,139,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\settings.cpp,370,0.0162162162162162,2,0,1,0,373,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v5\skins\default\cr-white.png,4,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\separator-h16.png,3,0.0,0,0,0,0,7,0
